Name of facility,"City, State",Facility Type,Race,Gender ,Still in existence,Years of Existence,Deaths,Death qualifiers,Cemetery,State of cemetery,Reported on recently,Allegations of Abuse,Allegations of Forced Labor,Notes
Industrial School for Girls at Mitchellville,"Mitchellville, Iowa",Reformatory ,Unknown,Girls ,Yes,1899-present ,1,"Find a grave says ""70 or so""",yes,maintained,yes ,yes ,unknown,"https://temposenzatempo.blogspot.com/2017/01/a-birdseye-view-of-girls-orchestra.html
https://www.findagrave.com/cemetery/2752263/iowa-industrial-school-for-girls-cemetery 
https://maps.app.goo.gl/JsU91FDgtxBGVw4q9 
https://www.coloradohistoricnewspapers.org/?a=d&d=WRC18991027-01.2.41&e=-------en-20--1--img-txIN%7CtxCO%7CtxTA--------0------ "
Tennessee Vocational School for Colored Girls,"Nashville, Tennessee",Industrial School,Black youth,Girls ,No,1923-1979,,,no,unknown,no,unknown,unknown,"https://tennesseeencyclopedia.net/entries/tennessee-vocational-school-for-colored-girls/
https://www.tn.gov/content/dam/tn/dcs/documents/juvenile-justice/Juvenile_Justice_Timeline.pdf "
Tennessee Vocational Reformatory for Girls,"Tullahoma, Tennessee",Reformatory,Unknown,Girls ,No,1917-1983,,,no,unknown,no,unknown,unknown,"https://www.tullahomanews.com/news/local/correction-academy-part-of-city-s-history/article_84de3c5c-15a4-5ffb-83c3-dd56ba61d8a3.html
https://www.tn.gov/content/dam/tn/dcs/documents/juvenile-justice/Juvenile_Justice_Timeline.pdf "
Tennessee Reformatory for Boys,"Jordonia, Tennessee",Reformatory ,White youth ,Boys ,Unknown,1911,,,no,unknown,no,yes ,unknown,"https://www.corpun.com/usr00603.htm
https://www.tn.gov/content/dam/tn/dcs/documents/juvenile-justice/Juvenile_Justice_Timeline.pdf "
Nebraska State Reform School for Juvenile Offenders,"Kearney, Nebraska ",Reformatory ,Unknown,Both,Yes,1879,,,no,unknown,yes ,yes ,unknown,"https://law.justia.com/cases/nebraska/supreme-court/1954/33370-0.html
https://nebraskaexaminer.com/2026/01/21/state-planning-to-move-boys-from-troubled-kearney-youth-center-to-omaha/ "
Lancaster Industrial School for Girls,"Lancaster, Massachussetts",Industrial School,Unknown,Girls ,No,1856-1970s,4,4,yes,unknown,yes ,unknown,unknown,"2001: https://www.seacoastonline.com/story/news/2001/06/01/state-uncovers-forgotten-girls-cemetery/51298449007/ 
https://www.nps.gov/places/lancaster-industrial.htm 
https://www.youtube.com/watch?v=6kdBU1G09dI&t=2797s 
https://www.mass.gov/info-details/former-industrial-school-for-girls#:~:text=The%20Industrial%20School%20for%20Girls,%2C%20farming%2C%20and%20functional%20buildings. "
State Reform Farm,"Lancaster, Ohio",Reformatory,Unknown,Boys ,Yes,1857-,22,"22 kids with memorials that exist on Find a grave (the rest are adults), there are 31 gravestones with no names on them so can't verify if they are kids or not",yes,maintained,yes ,yes ,unknown,"Cemetery possibly includes family members of employees
https://www.findagrave.com/cemetery/2332048/fairfield-school-for-boys-cemetery "
Industrial School for Boys,"Lansing, Michigan",Industrial School,Unknown,Boys ,No,1856-1972,61,61,yes,maintained,yes ,unknown,unknown,"https://www.lansingcitypulse.com/stories/nonprofit-to-mark-graves-of-61-boys-at-mt-hope-cemetery,12395"
Industrial School of Reform,"Louisville, Kentucky",Industrial School,All races but segregated,Both,Unknown,1854,,,no,unknown,no,yes ,unknown,https://explorekyhistory.ky.gov/items/show/994
House of Reform,"Lexington, Kentucky",Reformatory ,Unknown,Boys ,Yes,1897,,,no,unknown,no,yes ,yes ,https://kyhi.org/kentucky-house-of-reform/
House of Refuge for Juvenile Delinquents,"Baltimore, Maryland",Reformatory ,White youth ,Boys ,Yes,1850s,22,is 22 right?,yes,unknown,yes ,yes ,yes ,Marc Schindler said he saw 2 headstones.
New Hampshire State Reform School,"Manchester, New Hampshire",Reformatory ,Unknown,Both,Yes,1858,,,no,unknown,no,yes ,yes ,https://apps.das.nh.gov/NHProcurement/File/addendum-2-rfp-rpam-2026-01.pdf
