uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
137,370072002474,Mary Scroggs Elementary School,3700720,Chapel Hill-Carrboro Schools,5/25/2012,2011-2012,2012,14:00:00,Friday,Chapel Hill,North Carolina,public,614,1,0,1,targeted,49,m,NA,parent of students,0,NA,NA,NA,NA,NA,NA,NA,325,32,106,66,1,0,84,0,Charter Arms .44 Bulldog revolver,NA,35.879122,-79.068506,42.73,KG,5,135,Orange County,37,37135,13
140,090291000617,Sandy Hook Elementary School,902910,Newtown School District,12/14/2012,2012-2013,2012,09:35:00,Friday,Newtown,Connecticut,public,454,26,2,28,indiscriminate,20,m,w,former student,1,suicide,NA,NA,NA,NA,NA,NA,389,15,22,23,0,0,5,0,Bushmaster XM15-E2S rifle,mother,41.41978,-73.277751,35.76,KG,4,23,Fairfield County,09,09001,22
141,A0300763,Apostolic Revival Center and Christian School,NA,NA,1/7/2013,2012-2013,2013,11:00:00,Monday,Fort Myers,Florida,private,22,1,0,1,targeted,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,22,0,0,0,0,0,0,NA,NA,26.64062,-81.834212,3,PK,7,NULL,Lee County,12,12071,13
150,320048000247,Sparks Middle School,3200480,Washoe County School District,10/21/2013,2013-2014,2013,07:15:00,Monday,Sparks,Nevada,public,721,1,2,3,indiscriminate,12,m,h,student,1,suicide,NA,NA,NA,NA,NA,NA,146,13,501,26,4,9,22,0,Ruger SR9C semi-automatic handgun (9mm),father,39.5517,-119.7694,35,7,8,538,Washoe County,32,32031,21
153,080531000873,Arapahoe High School,0805310,"Littleton, School District No. 6, In The County Of Arapahoe",12/13/2013,2013-2014,2013,12:30:00,Friday,Centennial,Colorado,public,2273,1,0,1,targeted,18,m,w,student,1,suicide,NA,NA,NA,NA,NA,NA,1879,26,225,57,9,3,74,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200,Arapahoe County,08,08005,21
162,291640003220,Success Academy,2916400,Kansas City 33,2/20/2014,2013-2014,2014,10:30:00,Thursday,Raytown,Missouri,public,175,1,0,1,targeted,42,m,b,father of student,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.45-caliber handgun,legally purchased at pawn shop that morning,39.094,-94.5688,28.4,KG,12,NULL,Jackson County,29,29095,11
165,411052001009,Reynolds High School,4110520,Reynolds SD 7,6/10/2014,2013-2014,2014,08:07:00,Tuesday,Troutdale,Oregon,public,2806,1,1,2,indiscriminate,15,m,w,student,1,suicide,NA,NA,NA,NA,NA,NA,1208,231,917,263,21,41,125,1,M4 AR-15 rifle,brother,45.5285,-122.4026,106.78,9,12,1744,Multnomah County,41,41051,21
169,530486003317,Marysville Pilchuck High School,5304860,Marysville School District,10/24/2014,2014-2015,2014,10:39:00,Friday,Marysville,Washington,public,1253,4,1,5,targeted,15,m,n,student,1,suicide,NA,NA,NA,NA,NA,NA,736,25,250,46,77,1,118,1,.40-caliber Beretta Px4 Storm handgun,father,48.09582,-122.154021,55.3,9,12,532,Snohomish County,53,53061,22
179,040345000284,Independence High School,0403450,Glendale Union High School District,2/12/2016,2015-2016,2016,07:53:00,Friday,Glendale,Arizona,public,2114,1,0,1,targeted,15,f,NA,student,1,suicide,NA,NA,NA,NA,NA,NA,247,190,1535,42,29,3,68,0,9mm Beretta pistol,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584,Maricopa County,04,04013,21
183,450087000092,Townville Elementary School,4500870,Anderson 04,9/28/2016,2016-2017,2016,13:45:00,Wednesday,Townville,South Carolina,public,295,1,2,3,indiscriminate,14,m,w,former student,0,NA,NA,NA,NA,NA,NA,NA,265,13,3,2,0,1,11,0,.40 caliber pistol,father,34.56311,-82.903471,19,PK,6,186,Anderson County,45,45007,42
